,ds,TMAX_30avg,TMIN_30avg,TOBS_30avg,PDO,AMO,y,PRCP
25,1944-12-16,33.52949777085786,16.150671681738288,23.496489938202895,-0.46741935483870967,0.2715483870967742,0.0,0.0
26,1944-12-17,33.32676282903899,15.982579191612388,23.3397370822925,-0.45483870967741935,0.2710967741935484,0.0,0.0
27,1944-12-18,33.21236690744159,15.846179029519526,23.224427698911814,-0.44225806451612903,0.2706451612903226,0.0,0.0
28,1944-12-19,32.96731695314216,15.667406249511165,22.941326767146734,-0.4296774193548387,0.2701935483870968,0.0,0.0
29,1944-12-20,39.46666666666667,16.6,23.333333333333332,-0.4170967741935484,0.269741935483871,26.0,0.0
30,1944-12-21,38.766666666666666,16.866666666666667,23.3,-0.40451612903225803,0.26929032258064517,33.0,1.29
31,1944-12-22,38.333333333333336,16.866666666666667,23.333333333333332,-0.3919354838709677,0.26883870967741935,34.0,0.0
32,1944-12-23,37.7,16.9,22.9,-0.3793548387096774,0.2683870967741936,46.0,1.7
33,1944-12-24,37.0,17.066666666666666,23.066666666666666,-0.3667741935483871,0.26793548387096777,40.0,0.0
34,1944-12-25,37.13333333333333,16.9,22.866666666666667,-0.35419354838709677,0.26748387096774195,29.0,0.0
35,1944-12-26,37.4,16.9,22.866666666666667,-0.3416129032258064,0.26703225806451614,29.0,0.0
36,1944-12-27,37.3,16.766666666666666,22.833333333333332,-0.3290322580645161,0.2665806451612903,29.0,0.0
37,1944-12-28,37.233333333333334,17.033333333333335,23.133333333333333,-0.31645161290322577,0.26612903225806456,26.0,0.0
38,1944-12-29,37.166666666666664,17.166666666666668,22.7,-0.30387096774193545,0.26567741935483874,43.0,2.0
39,1944-12-30,37.266666666666666,17.1,22.566666666666666,-0.29129032258064513,0.2652258064516129,51.0,1.01
40,1944-12-31,37.3,16.433333333333334,21.9,-0.2787096774193548,0.2647741935483871,57.0,0.84
41,1945-01-01,36.666666666666664,15.866666666666667,21.6,-0.2661290322580645,0.2643225806451613,57.0,0.0
42,1945-01-02,36.666666666666664,15.366666666666667,21.333333333333332,-0.2535483870967742,0.26387096774193547,53.0,0.0
43,1945-01-03,36.9,15.4,21.5,-0.24096774193548384,0.2634193548387097,53.0,0.0
44,1945-01-04,36.8,15.4,21.433333333333334,-0.22838709677419355,0.2629677419354839,53.0,0.0
45,1945-01-05,36.93333333333333,15.266666666666667,21.333333333333332,-0.21580645161290318,0.26251612903225807,53.0,0.0
46,1945-01-06,36.733333333333334,15.033333333333333,21.066666666666666,-0.20322580645161287,0.26206451612903225,59.0,0.58
