,ds,TMAX_7avg,TMIN_7avg,TOBS_7avg,PDO,AMO,y,PRCP
0,1944-11-21,36.73697068107933,18.821201659237623,26.55142800259733,-0.48,0.272,0.0,0.0
1,1944-11-22,36.46850144881429,18.62680351321222,26.31870648527222,-0.48,0.272,0.0,0.0
2,1944-11-23,35.90765743539445,18.27511853451476,25.773842569556678,-0.48,0.272,0.0,0.0
3,1944-11-24,35.60255359113473,17.895431815666132,25.561157152267153,-0.48,0.272,0.0,0.82
4,1944-11-25,35.56896180978175,17.693867195584723,25.509994136178772,-0.48,0.272,0.0,0.06
5,1944-11-26,35.12347338836254,17.28645061436947,24.7396306124883,-0.48,0.272,0.0,0.0
6,1944-11-27,42.857142857142854,13.857142857142858,22.142857142857142,-0.48,0.272,17.0,0.0
7,1944-11-28,41.714285714285715,14.0,21.0,-0.48,0.272,20.0,0.25
8,1944-11-29,41.142857142857146,12.857142857142858,21.142857142857142,-0.48,0.272,20.0,0.0
9,1944-11-30,38.57142857142857,12.142857142857142,19.0,-0.48,0.272,20.0,0.0
10,1944-12-01,36.857142857142854,13.428571428571429,20.571428571428573,-0.48,0.272,14.0,0.0
11,1944-12-02,40.0,15.0,22.571428571428573,-0.48,0.272,3.0,0.0
12,1944-12-03,40.0,16.714285714285715,23.571428571428573,-0.48,0.272,7.0,0.35
13,1944-12-04,38.142857142857146,16.714285714285715,23.428571428571427,-0.48,0.272,7.0,0.0
14,1944-12-05,37.0,18.0,25.571428571428573,-0.48,0.272,4.0,0.0
15,1944-12-06,36.714285714285715,20.0,25.428571428571427,-0.48,0.272,4.0,0.0
16,1944-12-07,37.714285714285715,21.0,26.0,-0.48,0.272,4.0,0.0
17,1944-12-08,38.142857142857146,20.428571428571427,25.142857142857142,-0.48,0.272,4.0,0.0
18,1944-12-09,35.714285714285715,18.142857142857142,22.428571428571427,-0.48,0.272,4.0,0.0
19,1944-12-10,35.0,16.285714285714285,21.714285714285715,-0.48,0.272,0.0,0.0
20,1944-12-11,37.0,16.142857142857142,22.142857142857142,-0.48,0.272,0.0,0.0
21,1944-12-12,37.42857142857143,15.857142857142858,21.857142857142858,-0.48,0.272,0.0,0.0
22,1944-12-13,36.857142857142854,15.0,21.571428571428573,-0.48,0.272,0.0,0.0
23,1944-12-14,36.57142857142857,14.0,20.714285714285715,-0.48,0.272,0.0,0.0
24,1944-12-15,36.42857142857143,14.428571428571429,21.428571428571427,-0.48,0.272,0.0,0.0
25,1944-12-16,38.285714285714285,16.571428571428573,23.428571428571427,-0.46741935483870967,0.2715483870967742,0.0,0.0
26,1944-12-17,40.42857142857143,17.714285714285715,23.571428571428573,-0.45483870967741935,0.2710967741935484,0.0,0.0
27,1944-12-18,39.142857142857146,17.571428571428573,23.714285714285715,-0.44225806451612903,0.2706451612903226,0.0,0.0
28,1944-12-19,39.285714285714285,18.285714285714285,24.571428571428573,-0.4296774193548387,0.2701935483870968,0.0,0.0
29,1944-12-20,40.142857142857146,19.285714285714285,24.857142857142858,-0.4170967741935484,0.269741935483871,2.0,0.0
30,1944-12-21,38.42857142857143,19.0,24.285714285714285,-0.40451612903225803,0.26929032258064517,9.0,1.29
31,1944-12-22,37.42857142857143,18.571428571428573,24.857142857142858,-0.3919354838709677,0.26883870967741935,10.0,0.0
32,1944-12-23,36.42857142857143,19.142857142857142,25.428571428571427,-0.3793548387096774,0.2683870967741936,22.0,1.7
33,1944-12-24,35.285714285714285,19.857142857142858,25.714285714285715,-0.3667741935483871,0.26793548387096777,22.0,0.0
34,1944-12-25,35.42857142857143,19.142857142857142,23.571428571428573,-0.35419354838709677,0.26748387096774195,22.0,0.0
35,1944-12-26,35.0,17.0,21.428571428571427,-0.3416129032258064,0.26703225806451614,22.0,0.0
36,1944-12-27,33.57142857142857,14.571428571428571,20.0,-0.3290322580645161,0.2665806451612903,20.0,0.0
37,1944-12-28,35.142857142857146,14.714285714285714,20.285714285714285,-0.31645161290322577,0.26612903225806456,13.0,0.0
38,1944-12-29,36.142857142857146,14.142857142857142,18.428571428571427,-0.30387096774193545,0.26567741935483874,29.0,2.0
39,1944-12-30,36.714285714285715,13.0,17.571428571428573,-0.29129032258064513,0.2652258064516129,25.0,1.01
